theta1,theta2,w1,w2
0.9948,0.4363,0,0
0.9948,0.4363,-1.0091622124,0.4416837632
0.8938837788,0.4804683763,-2.0621283959,0.9744824836
0.6876709392,0.5779166247,-3.1880517482,1.7234352601
0.3688657643,0.7502601507,-4.033060261,2.1393317929
-0.0344402618,0.96419333,-3.4658731154,0.339277365
-0.3810275733,0.9981210665,-2.8448748339,-1.8120311071
-0.6655150567,0.8169179558,-2.1526015813,-3.5620520551
-0.8807752148,0.4607127502,-0.8586213651,-4.8522641496
-0.9666373513,-0.0245136647,1.1532454933,-5.8170578236
-0.851312802,-0.6062194471,3.8126030483,-7.4644993082
-0.4700524972,-1.3526693779,6.2932408741,-9.6653432265
0.1592715902,-2.3192037006,0.7323447612,-2.11756638
0.2325060664,-2.5309603385,0.7360192011,-1.3635374257
0.3061079865,-2.6673140811,0.7541071644,-0.7648099612
0.3815187029,-2.7437950772,0.6083864621,-0.4513936234
0.4423573491,-2.7889344396,0.2585730651,-0.4209171046
0.4682146556,-2.83102615,-0.2383433036,-0.5779488859
0.4443803253,-2.8888210386,-0.8086859816,-0.8426246133
0.3635117271,-2.9730834999,-1.3883672189,-1.179064658
0.2246750052,-3.0909899657,-1.9139881949,-1.5677152968
0.0332761857,-3.2477614954,-2.3098818181,-1.9715037963
-0.1977119961,-3.4449118751,-2.4937965975,-2.3316442387
-0.4470916558,-3.6780762989,-2.4087139051,-2.605306666
-0.6879630463,-3.9386069655,-2.0540324919,-2.8047312172
-0.8933662955,-4.2190800873,-1.4732145379,-2.9742488611
-1.0406877493,-4.5165049734,-0.6976772367,-3.1147109515
-1.110455473,-4.8279760685,0.2828913144,-3.1656279772
-1.0821663415,-5.1445388662,1.4256072551,-3.1850657424
-0.939605616,-5.4630454405,2.5896506718,-3.5322838666
-0.6806405488,-5.8162738271,3.8873077753,-4.6638587359
-0.2919097713,-6.2826597007,6.0517145953,-7.3717303294
0.3132616882,-7.0198327337,8.9527406439,-11.2059009178
1.2085357526,-8.1404228254,0.2311437072,0.7449433758
1.2316501233,-8.0659284878,-0.6629489877,0.793894372
1.1653552246,-7.9865390506,-1.5491782778,0.878470993
1.0104373968,-7.8986919513,-2.3175214414,1.1746418893
0.7786852527,-7.7812277624,-2.8372982399,1.9663096588
0.4949554287,-7.5845967965,-3.242142181,3.2937085867
