theta1,theta2,w1,w2
0.9948,0.4363,0,0
0.9443418894,0.4583841882,-1.0310641979,0.4872412418
0.7895433736,0.5336160472,-2.0795833219,1.086463645
0.5324716689,0.6703260497,-2.778735609,1.2527967077
0.2415782516,0.772755941,-2.6928653464,0.2512504577
-0.010165233,0.7301814651,-2.227598296,-1.1746289531
-0.2039680279,0.5419221543,-1.4690346211,-2.5771339972
-0.305458165,0.2182574027,-0.3453208829,-3.922398552
-0.2780845412,-0.2384988391,0.735288568,-4.9445332425
-0.1843072249,-0.741715775,0.3213369485,-4.1391877505
-0.1956783019,-1.085339893,-0.3557861996,-2.8450800917
-0.2561933951,-1.3103156996,-0.6679945913,-1.7101418293
-0.3299566501,-1.4286029269,-0.6920907394,-0.683236367
-0.3954610516,-1.4479730644,-0.5732524505,0.2746979547
-0.4455898426,-1.3740101503,-0.447732626,1.2013201071
-0.485982218,-1.2076458929,-0.4271464831,2.1505006273
-0.5317186292,-0.9439203562,-0.5371464984,3.1242738
-0.5912534661,-0.5858989849,-0.3817426746,3.6570896104
-0.601535257,-0.220991518,0.5386644428,3.1669694485
-0.4908885373,0.0531888494,1.677103392,2.1543460123
-0.2705987178,0.213751536,2.6777929461,0.8737622623
0.0398711003,0.2362590543,3.4004139431,-0.3890582805
0.3977864185,0.1570724389,3.1842141962,-0.3713786668
0.6760682318,0.1633376849,2.2251181092,0.6247212755
0.8454480981,0.276285567,1.1196265822,1.5109342621
0.9023380849,0.463781082,-0.0306935147,2.1891886659
0.8423004325,0.7123597589,-1.1383767928,2.7167923979
0.6822562336,0.9986681086,-1.6860911764,2.4841374285
0.5055895534,1.2091196717,-1.7335154219,1.5011244132
0.3337786868,1.3025071894,-1.7191666619,0.3312988826
0.1630541912,1.2755355716,-1.6464354262,-0.9022715757
0.0060930212,1.1228748633,-1.3411920628,-2.169510977
-0.1039795966,0.8431285417,-0.6159527578,-3.4628150444
-0.1166823002,0.4301626666,0.6394058237,-4.971583954
0.0212774592,-0.15171753,1.3635932934,-5.7667935187
0.1191969049,-0.681524781,0.1841318338,-4.4553222246
0.0686635958,-1.0480666147,-0.8628281249,-3.0470766443
-0.0555327033,-1.2903428427,-1.3866591256,-1.7828135378
-0.2090459809,-1.4075668936,-1.5392643487,-0.548041607
-0.3643973313,-1.402468886,-1.5210726225,0.6328607091
-0.5144351337,-1.2819611586,-1.5074093952,1.767016682
-0.6665917336,-1.0493816199,-1.5333890399,2.8245830453
-0.817993193,-0.7218407512,-1.0955651426,3.1916513115
-0.8832051974,-0.4150138465,0.0162555595,2.6807962881
-0.8198359471,-0.1822770913,1.2357617485,1.8998661718
-0.6380021597,-0.0347661908,2.3887050101,0.8500028685
-0.3444024329,-0.0093175586,3.4768434611,-0.5208025024
0.0500934956,-0.1250256672,3.8389817751,-0.9583204223
0.4103433839,-0.1786223075,3.0399112062,0.3626098027
0.6623380766,-0.0647523539,1.9311325085,1.7449920144
0.7985685205,0.1678095115,0.6757762273,2.797640154
0.8010327108,0.4933203452,-0.6964737096,3.7098847546
0.6674501892,0.9027713722,-1.4601829928,3.8192015518
0.5177974594,1.2472729148,-1.3367443515,2.778261776
0.3954025832,1.4642773663,-1.2398392863,1.6310598737
0.2717557,1.5717609059,-1.3027091927,0.5254621087
