theta1,theta2,w1,w2
0.9948,0.4363,0,0
0.9942954189,0.4365208419,-0.1009381232,0.0442139338
0.9927813182,0.437184306,-0.2019314635,0.0886206104
0.990256871,0.4382932796,-0.3030343218,0.1334103819
0.9867207144,0.439852536,-0.4042991424,0.1787688097
0.9821709727,0.4418686735,-0.5057753793,0.2248739676
0.9766052941,0.4443500267,-0.6075081076,0.2718933695
0.9700209017,0.4473065438,-0.7095362783,0.3199803772
0.9624146648,0.4507496261,-0.8118905043,0.3692699237
0.9537831947,0.45469192,-0.9145902479,0.4198733696
0.9441229721,0.459147053,-1.0176402695,0.4718722916
0.9334305136,0.4641293023,-1.1210261823,0.5253109889
0.9217025884,0.4696531805,-1.2247089575,0.5801874926
0.9089364944,0.4757329238,-1.3286182366,0.6364428848
0.8951304088,0.4823818654,-1.4326443448,0.6939487967
0.8802838243,0.4896116727,-1.5366289826,0.7524930787
0.8643980847,0.4974314346,-1.6403547137,0.8117638441
0.8474770321,0.5058465802,-1.7435335905,0.8713324241
0.8295277696,0.5148576246,-1.8457955883,0.9306362444
0.8105615389,0.5244587466,-1.946677951,0.9889632771
0.7905946965,0.5346362239,-2.0456170846,1.0454404801
0.7696497526,0.54536678,-2.1419451804,1.0990294431
0.7477564144,0.5566159328,-2.2348941946,1.1485330852
0.7249525453,0.5683364758,-2.3236099194,1.1926174149
0.7012849273,0.5804672613,-2.4071783973,1.2298516513
0.6768096931,0.5929324827,-2.4846656048,1.2587680934
0.6515922962,0.605641652,-2.5551690989,1.2779398837
0.6257069126,0.6184904344,-2.6178774354,1.2860706329
0.5992352245,0.6313624148,-2.6721303217,1.2820857287
0.5722646204,0.6441317563,-2.71747065,1.2652124629
0.5448859382,0.6566665701,-2.7536796913,1.2350362243
0.5171909592,0.6688327,-2.7807891992,1.1915234702
0.489269905,0.6804975574,-2.7990684558,1.1350082956
0.4612091877,0.6915336428,-2.8089891198,1.0661463551
0.4330896065,0.7018214633,-2.8111745959,0.9858455064
0.4049851092,0.7112516691,-2.8063424998,0.8951853161
0.3769621407,0.7197263606,-2.795248438,0.7953371906
0.3490795298,0.7271596247,-2.7786373193,0.6874941506
0.3213888144,0.7334774345,-2.7572057253,0.572815475
0.2939348826,0.7386170759,-2.7315763082,0.452387822
0.266756811,0.7425262669,-2.7022833118,0.3272017313
0.2398887965,0.7451621137,-2.6697672337,0.1981408474
0.2133611012,0.7464900146,-2.634376284,0.0659806309
0.1872009551,0.7464825894,-2.5963724045,-0.0686065568
0.1614333799,0.745118686,-2.5559399763,-0.2050426269
0.1360819172,0.7423824873,-2.5131957976,-0.3428332034
0.111169253,0.7382627287,-2.4681993392,-0.4815567435
0.0867177399,0.7327520234,-2.4209626441,-0.6208542453
0.0627498237,0.7258462859,-2.3714595069,-0.7604200622
